Age Group,Job,Marital,Education,Default,Balance Group,Month,Response Rate
50+,retired,married,secondary,no,low,jul,0
50+,services,divorced,secondary,yes,low,jul,0
50+,unemployed,married,secondary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
50+,housemaid,married,tertiary,no,low,jul,0
50+,admin.,married,secondary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
30+,services,married,secondary,no,medium,jul,0
30+,management,single,tertiary,no,low,jul,0
40+,management,single,tertiary,no,low,jul,0
50+,admin.,married,secondary,no,low,jul,0
40+,technician,divorced,secondary,no,low,jul,0
30+,services,married,secondary,no,low,jul,0
40+,services,divorced,secondary,no,medium,jul,0
40+,technician,single,tertiary,no,low,jul,0
30+,services,single,secondary,no,medium,jul,0
20+,services,single,secondary,no,low,jul,0
50+,services,married,secondary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
30+,technician,divorced,secondary,no,low,jul,0
60+,retired,married,secondary,no,low,jul,0
50+,blue-collar,married,secondary,no,low,jul,0
30+,services,married,secondary,no,low,jul,1
50+,retired,married,unknown,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
30+,services,single,secondary,no,low,jul,0
40+,technician,divorced,primary,no,medium,jul,0
60+,blue-collar,married,primary,no,low,jul,0
50+,blue-collar,single,primary,no,low,jul,0
40+,technician,married,secondary,no,low,jul,0
40+,blue-collar,married,secondary,no,low,jul,0
30+,self-employed,married,secondary,yes,low,jul,0
30+,management,married,secondary,no,low,jul,0
50+,technician,married,secondary,no,low,jul,0
40+,services,divorced,secondary,no,low,jul,0
40+,admin.,married,secondary,no,medium,jul,0
30+,blue-collar,married,secondary,no,low,jul,0
50+,retired,married,secondary,no,low,jul,0
50+,entrepreneur,married,secondary,no,low,jul,0
50+,technician,married,secondary,no,low,jul,0
40+,admin.,single,secondary,no,low,jul,0
30+,blue-collar,married,primary,no,low,jul,0
20+,admin.,married,secondary,no,low,jul,0
50+,blue-collar,divorced,unknown,no,low,jul,0
30+,entrepreneur,married,tertiary,no,low,jul,0
40+,blue-collar,married,secondary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
30+,technician,married,unknown,no,low,jul,0
50+,management,divorced,tertiary,no,low,jul,0
40+,entrepreneur,married,tertiary,no,medium,jul,0
30+,technician,single,unknown,no,low,jul,0
40+,technician,married,secondary,no,low,jul,0
40+,blue-collar,married,secondary,no,low,jul,0
30+,admin.,single,secondary,no,low,jul,0
30+,blue-collar,married,primary,no,low,jul,0
30+,services,single,tertiary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
40+,retired,married,primary,no,low,jul,0
20+,blue-collar,married,secondary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
30+,admin.,married,secondary,no,low,jul,0
30+,admin.,married,secondary,no,low,jul,0
20+,management,single,tertiary,no,low,jul,0
40+,management,single,tertiary,no,medium,jul,0
30+,services,single,secondary,no,low,jul,0
30+,admin.,single,tertiary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
40+,management,single,tertiary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
30+,technician,single,tertiary,no,low,jul,0
20+,admin.,married,secondary,no,low,jul,0
30+,management,married,secondary,no,medium,jul,0
30+,blue-collar,married,secondary,no,low,jul,0
30+,admin.,married,secondary,yes,low,jul,0
30+,blue-collar,married,primary,no,medium,jul,0
30+,management,married,tertiary,no,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
20+,blue-collar,married,secondary,no,low,jul,0
20+,services,single,secondary,no,low,jul,0
50+,housemaid,married,primary,no,low,jul,0
30+,technician,married,primary,no,low,jul,1
20+,admin.,single,secondary,no,medium,jul,0
30+,housemaid,married,primary,no,low,jul,0
30+,management,married,secondary,no,low,jul,0
30+,management,married,tertiary,no,medium,jul,0
50+,retired,divorced,primary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
20+,services,married,primary,no,low,jul,0
40+,services,married,secondary,no,medium,jul,0
20+,unemployed,single,secondary,no,low,jul,0
30+,admin.,divorced,secondary,no,low,jul,0
30+,blue-collar,single,primary,no,medium,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
30+,management,single,tertiary,no,low,jul,0
50+,services,divorced,secondary,no,medium,jul,0
20+,admin.,single,secondary,no,medium,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
50+,retired,married,secondary,no,low,jul,0
30+,admin.,single,tertiary,no,low,jul,0
20+,admin.,married,secondary,no,low,jul,0
40+,services,single,secondary,no,low,jul,0
20+,technician,single,tertiary,no,low,jul,0
50+,blue-collar,married,secondary,no,low,jul,0
50+,management,married,tertiary,no,low,jul,0
40+,blue-collar,divorced,primary,no,low,jul,0
30+,self-employed,divorced,tertiary,no,low,jul,0
20+,services,single,primary,no,low,jul,1
30+,technician,married,secondary,no,low,jul,0
40+,blue-collar,married,secondary,no,medium,jul,1
40+,blue-collar,divorced,primary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
60+,retired,married,unknown,no,low,jul,0
20+,management,single,secondary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
40+,blue-collar,married,secondary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
20+,technician,single,secondary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,1
50+,blue-collar,married,secondary,no,medium,jul,0
20+,blue-collar,single,primary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
30+,blue-collar,married,secondary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
30+,blue-collar,divorced,primary,no,medium,jul,0
40+,technician,married,tertiary,no,medium,jul,0
30+,blue-collar,married,primary,no,low,jul,0
40+,services,married,secondary,no,medium,jul,0
30+,admin.,married,secondary,no,low,jul,0
50+,technician,married,secondary,no,low,jul,0
30+,unemployed,divorced,primary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
30+,services,married,secondary,no,low,jul,0
20+,services,single,secondary,no,low,jul,0
30+,management,married,secondary,no,medium,jul,0
30+,services,married,secondary,no,low,jul,0
30+,admin.,single,secondary,no,low,jul,0
30+,admin.,divorced,secondary,no,low,jul,0
40+,entrepreneur,married,secondary,no,low,jul,0
30+,services,married,secondary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,1
50+,blue-collar,married,secondary,no,low,jul,1
50+,technician,married,secondary,no,low,jul,1
50+,management,married,tertiary,no,medium,jul,0
30+,blue-collar,married,secondary,no,low,jul,0
50+,entrepreneur,married,tertiary,no,medium,jul,0
50+,management,divorced,tertiary,no,medium,jul,0
40+,management,single,tertiary,no,low,jul,0
60+,entrepreneur,divorced,primary,no,medium,jul,0
30+,services,married,secondary,no,low,jul,0
30+,admin.,single,secondary,no,low,jul,0
40+,technician,married,secondary,yes,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
40+,blue-collar,married,primary,yes,low,jul,0
50+,management,married,unknown,no,low,jul,0
30+,management,married,primary,no,low,jul,0
50+,housemaid,married,primary,no,low,jul,0
40+,services,married,secondary,no,low,jul,0
40+,housemaid,married,primary,no,medium,jul,0
60+,retired,married,primary,no,low,jul,0
50+,management,married,primary,no,medium,jul,0
50+,blue-collar,married,primary,no,low,jul,0
30+,unemployed,single,primary,no,low,jul,0
30+,management,married,tertiary,no,medium,jul,0
40+,management,married,primary,no,low,jul,0
50+,blue-collar,divorced,primary,no,low,jul,0
50+,management,married,secondary,no,medium,jul,0
40+,services,married,secondary,no,low,jul,0
50+,blue-collar,married,secondary,no,low,jul,0
30+,unknown,married,primary,no,low,jul,0
40+,management,divorced,secondary,no,low,jul,0
50+,blue-collar,married,primary,no,medium,jul,0
40+,technician,married,primary,no,low,jul,0
50+,self-employed,married,secondary,yes,low,jul,0
30+,technician,single,secondary,no,low,jul,1
30+,management,married,tertiary,no,medium,jul,0
30+,services,single,secondary,no,low,jul,0
40+,technician,married,secondary,no,low,jul,0
40+,unemployed,divorced,secondary,no,low,jul,0
50+,services,divorced,tertiary,no,low,jul,0
40+,admin.,single,secondary,no,medium,jul,0
50+,management,divorced,tertiary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
40+,blue-collar,divorced,primary,no,low,jul,1
30+,services,single,secondary,no,low,jul,1
30+,self-employed,married,tertiary,no,low,jul,0
50+,blue-collar,divorced,secondary,no,medium,jul,0
30+,entrepreneur,married,tertiary,no,low,jul,0
50+,admin.,married,secondary,no,medium,jul,0
30+,technician,married,secondary,no,medium,jul,0
20+,admin.,single,secondary,no,low,jul,0
50+,management,married,tertiary,no,low,jul,1
30+,admin.,single,secondary,no,low,jul,0
40+,blue-collar,divorced,unknown,no,low,jul,0
40+,blue-collar,divorced,primary,no,medium,jul,0
30+,self-employed,married,secondary,no,medium,jul,0
40+,blue-collar,divorced,secondary,no,medium,jul,0
40+,blue-collar,married,primary,no,low,jul,0
40+,unemployed,married,primary,no,low,jul,0
20+,management,single,secondary,no,medium,jul,0
40+,management,married,tertiary,no,medium,jul,0
40+,technician,divorced,tertiary,no,low,jul,0
40+,admin.,married,secondary,no,low,jul,0
40+,unknown,divorced,primary,no,low,jul,0
40+,management,married,primary,no,medium,jul,0
40+,blue-collar,married,primary,no,low,jul,0
40+,unknown,married,unknown,no,medium,jul,0
40+,admin.,married,secondary,no,medium,jul,0
30+,technician,divorced,secondary,no,low,jul,0
30+,entrepreneur,divorced,tertiary,no,low,jul,1
20+,blue-collar,married,primary,no,low,jul,0
40+,technician,married,secondary,no,low,jul,1
20+,services,single,secondary,no,low,jul,0
40+,services,married,primary,no,low,jul,0
30+,self-employed,married,secondary,no,medium,jul,1
40+,management,married,unknown,no,high,jul,0
40+,management,married,tertiary,no,low,jul,0
30+,services,married,secondary,no,low,jul,0
30+,self-employed,married,secondary,no,low,jul,0
50+,unknown,married,primary,no,medium,jul,0
40+,unemployed,married,secondary,no,low,jul,1
40+,technician,married,secondary,no,low,jul,0
50+,retired,married,tertiary,no,low,jul,0
30+,services,married,secondary,no,low,jul,0
40+,technician,married,secondary,no,low,jul,0
50+,management,divorced,tertiary,no,low,jul,0
20+,management,single,tertiary,no,low,jul,0
40+,management,married,unknown,no,medium,jul,0
40+,services,married,secondary,no,low,jul,0
50+,admin.,married,secondary,no,medium,jul,0
40+,blue-collar,married,secondary,no,medium,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
50+,technician,married,secondary,no,medium,jul,0
20+,admin.,married,secondary,no,low,jul,0
50+,technician,married,secondary,no,low,jul,0
50+,retired,divorced,secondary,no,low,jul,0
50+,retired,married,primary,no,low,jul,0
20+,services,married,secondary,no,low,jul,0
30+,services,married,secondary,no,low,jul,0
30+,management,single,tertiary,no,low,jul,0
40+,admin.,single,secondary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
40+,services,divorced,secondary,no,low,jul,0
30+,blue-collar,single,primary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
30+,blue-collar,single,primary,no,low,jul,0
40+,management,married,tertiary,no,low,jul,0
60+,blue-collar,divorced,primary,no,medium,jul,0
20+,housemaid,single,primary,no,low,jul,0
40+,technician,married,secondary,no,low,jul,0
50+,management,married,primary,no,low,jul,0
30+,self-employed,single,tertiary,no,medium,jul,1
30+,admin.,married,secondary,no,medium,jul,1
30+,blue-collar,single,primary,yes,low,jul,0
30+,management,single,tertiary,no,low,jul,0
50+,blue-collar,married,secondary,no,low,jul,0
20+,services,married,tertiary,no,low,jul,0
30+,services,single,secondary,no,medium,jul,0
20+,blue-collar,married,primary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
40+,technician,married,unknown,no,low,jul,0
20+,blue-collar,married,primary,no,low,jul,0
40+,housemaid,married,primary,no,low,jul,0
30+,services,single,secondary,no,low,jul,0
30+,blue-collar,married,secondary,no,low,jul,0
40+,technician,married,secondary,no,low,jul,0
30+,management,single,tertiary,no,low,jul,0
40+,management,single,secondary,no,low,jul,0
50+,housemaid,divorced,unknown,no,medium,jul,0
30+,admin.,married,secondary,no,medium,jul,0
20+,technician,single,tertiary,no,low,jul,0
40+,technician,single,secondary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
30+,admin.,single,secondary,no,low,jul,0
50+,retired,married,secondary,no,medium,jul,0
30+,admin.,single,secondary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
20+,technician,single,secondary,no,low,jul,1
20+,blue-collar,single,secondary,no,low,jul,0
20+,management,married,tertiary,no,low,jul,0
40+,admin.,divorced,secondary,no,low,jul,1
30+,admin.,divorced,secondary,no,low,jul,0
20+,services,married,secondary,no,low,jul,0
30+,services,divorced,secondary,no,low,jul,0
40+,admin.,married,secondary,no,low,jul,0
30+,services,single,secondary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
40+,blue-collar,single,unknown,no,low,jul,0
50+,housemaid,divorced,secondary,no,low,jul,0
20+,blue-collar,single,primary,no,low,jul,0
40+,management,divorced,tertiary,no,low,jul,0
30+,admin.,married,secondary,no,low,jul,0
30+,admin.,married,primary,no,low,jul,0
50+,blue-collar,married,secondary,no,high,jul,0
30+,blue-collar,married,secondary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
40+,management,married,secondary,no,low,jul,0
30+,unknown,single,tertiary,no,low,jul,0
50+,blue-collar,married,secondary,no,medium,jul,0
30+,blue-collar,married,primary,no,low,jul,0
20+,technician,married,secondary,no,low,jul,0
40+,management,married,tertiary,no,low,jul,0
50+,technician,divorced,tertiary,yes,low,jul,0
30+,technician,married,secondary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
20+,services,married,secondary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
20+,blue-collar,married,secondary,no,low,jul,0
30+,housemaid,married,unknown,yes,low,jul,0
30+,housemaid,divorced,secondary,no,low,jul,0
20+,technician,married,secondary,no,low,jul,0
40+,blue-collar,married,secondary,no,low,jul,0
30+,admin.,single,secondary,no,low,jul,0
30+,blue-collar,married,primary,no,low,jul,0
20+,blue-collar,married,primary,no,low,jul,0
40+,housemaid,married,primary,no,low,jul,0
40+,blue-collar,single,secondary,yes,medium,jul,1
30+,blue-collar,divorced,secondary,no,low,jul,0
30+,entrepreneur,married,primary,yes,low,jul,0
40+,management,divorced,tertiary,no,low,jul,0
50+,blue-collar,divorced,primary,no,medium,jul,1
40+,management,married,secondary,no,low,jul,0
50+,blue-collar,single,secondary,no,low,jul,0
40+,housemaid,married,primary,no,medium,jul,0
50+,management,single,tertiary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
20+,technician,divorced,tertiary,no,low,jul,0
30+,blue-collar,married,secondary,no,medium,jul,0
30+,technician,single,secondary,no,low,jul,0
40+,technician,divorced,secondary,no,low,jul,0
20+,services,married,secondary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
30+,admin.,married,secondary,no,low,jul,0
50+,admin.,single,secondary,no,low,jul,0
20+,management,single,tertiary,no,low,jul,0
40+,management,married,tertiary,no,low,jul,0
40+,technician,single,secondary,no,low,jul,1
40+,housemaid,married,tertiary,no,low,jul,0
50+,services,married,secondary,no,low,jul,0
50+,retired,married,secondary,no,low,jul,0
40+,technician,divorced,secondary,no,low,jul,0
50+,management,married,tertiary,no,medium,jul,0
20+,blue-collar,married,primary,no,low,jul,0
40+,admin.,single,secondary,no,low,jul,0
30+,management,single,secondary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
30+,admin.,single,secondary,no,low,jul,0
40+,services,married,secondary,no,low,jul,0
30+,services,single,secondary,no,low,jul,0
30+,unemployed,married,secondary,no,low,jul,0
20+,services,single,secondary,no,low,jul,0
40+,blue-collar,married,secondary,no,low,jul,0
40+,blue-collar,married,primary,yes,low,jul,0
30+,admin.,single,secondary,no,low,jul,1
50+,blue-collar,married,primary,no,medium,jul,0
30+,management,single,tertiary,no,low,jul,0
60+,retired,divorced,tertiary,no,low,jul,0
30+,blue-collar,single,primary,yes,low,jul,0
40+,management,married,tertiary,no,medium,jul,0
40+,admin.,married,secondary,no,medium,jul,0
50+,technician,married,unknown,no,low,jul,0
30+,services,single,secondary,no,low,jul,0
40+,technician,married,secondary,no,low,jul,0
20+,blue-collar,single,secondary,yes,low,jul,0
20+,technician,single,tertiary,no,low,jul,0
20+,admin.,married,secondary,no,low,jul,0
30+,admin.,divorced,secondary,no,low,jul,0
30+,services,married,secondary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
50+,unemployed,married,tertiary,no,medium,jul,0
20+,admin.,single,secondary,no,medium,jul,0
40+,blue-collar,married,primary,no,medium,jul,0
20+,services,single,secondary,no,low,jul,0
50+,housemaid,married,secondary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
50+,entrepreneur,married,primary,no,low,jul,0
40+,blue-collar,single,secondary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
50+,technician,married,secondary,no,low,jul,0
50+,blue-collar,married,primary,no,medium,jul,0
50+,blue-collar,married,secondary,no,high,jul,0
50+,technician,divorced,secondary,no,low,jul,0
30+,management,married,tertiary,no,low,jul,0
50+,blue-collar,divorced,secondary,no,low,jul,0
20+,services,single,secondary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
30+,blue-collar,married,primary,no,low,jul,0
30+,management,single,secondary,no,medium,jul,0
30+,admin.,married,secondary,no,low,jul,0
30+,management,married,tertiary,no,low,jul,0
30+,management,single,tertiary,no,medium,jul,0
50+,blue-collar,divorced,secondary,no,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
20+,blue-collar,married,primary,no,low,jul,0
30+,admin.,single,tertiary,no,low,jul,0
30+,management,married,tertiary,no,medium,jul,0
20+,unemployed,single,secondary,yes,low,jul,0
20+,blue-collar,married,secondary,no,low,jul,0
30+,technician,married,secondary,no,medium,jul,0
30+,services,married,secondary,no,low,jul,0
40+,blue-collar,married,secondary,yes,low,jul,0
30+,blue-collar,married,unknown,no,low,jul,0
50+,technician,married,secondary,no,medium,jul,0
50+,self-employed,divorced,tertiary,no,low,jul,0
40+,management,married,tertiary,no,low,jul,0
40+,entrepreneur,married,primary,no,medium,jul,0
20+,technician,single,secondary,no,medium,jul,0
30+,services,single,secondary,no,low,jul,0
40+,housemaid,married,secondary,no,medium,jul,0
30+,technician,married,tertiary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
40+,admin.,divorced,tertiary,no,low,jul,0
40+,management,married,secondary,no,low,jul,0
40+,services,married,secondary,no,low,jul,0
40+,admin.,married,secondary,no,low,jul,0
50+,blue-collar,divorced,primary,no,low,jul,0
40+,self-employed,single,secondary,no,low,jul,0
30+,technician,single,secondary,no,low,jul,0
50+,entrepreneur,divorced,tertiary,no,low,jul,0
30+,entrepreneur,married,secondary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
30+,blue-collar,single,tertiary,no,medium,jul,0
30+,management,married,tertiary,no,low,jul,0
30+,admin.,single,secondary,no,low,jul,0
20+,blue-collar,single,primary,no,medium,jul,0
30+,management,married,tertiary,no,low,jul,0
50+,blue-collar,married,secondary,no,low,jul,0
30+,blue-collar,single,secondary,no,medium,jul,0
60+,management,married,tertiary,yes,low,jul,0
20+,blue-collar,married,secondary,no,low,jul,0
50+,self-employed,married,secondary,no,low,jul,0
40+,self-employed,married,secondary,no,low,jul,0
40+,management,divorced,secondary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
30+,blue-collar,married,primary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
20+,management,single,tertiary,no,medium,jul,0
50+,blue-collar,married,primary,no,medium,jul,0
40+,blue-collar,married,primary,yes,low,jul,0
40+,entrepreneur,married,secondary,no,low,jul,0
30+,blue-collar,married,unknown,no,low,jul,0
30+,housemaid,married,primary,no,low,jul,0
20+,self-employed,married,secondary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
20+,blue-collar,married,secondary,no,low,jul,0
40+,services,married,secondary,no,low,jul,0
40+,entrepreneur,single,tertiary,no,low,jul,0
50+,technician,married,tertiary,no,low,jul,0
50+,retired,single,secondary,no,low,jul,0
20+,blue-collar,married,secondary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,1
40+,technician,married,primary,no,low,jul,0
40+,unknown,married,secondary,no,medium,jul,0
20+,services,married,secondary,no,low,jul,0
40+,entrepreneur,married,secondary,no,medium,jul,0
30+,management,married,tertiary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
30+,services,single,secondary,no,low,jul,0
40+,housemaid,married,primary,no,low,jul,0
30+,admin.,single,secondary,no,low,jul,0
30+,services,single,secondary,no,low,jul,0
40+,blue-collar,single,primary,no,low,jul,0
20+,student,single,secondary,no,low,jul,0
30+,entrepreneur,divorced,tertiary,no,low,jul,0
30+,blue-collar,married,secondary,no,low,jul,0
20+,unknown,single,secondary,no,low,jul,0
20+,technician,single,secondary,no,low,jul,0
20+,blue-collar,married,primary,no,low,jul,0
60+,management,married,tertiary,no,medium,jul,0
30+,blue-collar,single,unknown,yes,low,jul,0
40+,blue-collar,married,primary,no,medium,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
40+,management,married,tertiary,no,low,jul,0
50+,technician,married,tertiary,no,low,jul,0
50+,blue-collar,divorced,primary,no,low,jul,0
30+,admin.,married,tertiary,no,low,jul,0
40+,management,married,secondary,no,medium,jul,0
30+,admin.,single,secondary,no,low,jul,0
40+,technician,single,tertiary,no,low,jul,0
20+,admin.,married,secondary,no,low,jul,0
30+,entrepreneur,married,tertiary,no,low,jul,0
30+,management,married,tertiary,no,low,jul,0
20+,entrepreneur,married,secondary,no,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
30+,technician,divorced,tertiary,no,low,jul,0
40+,services,married,secondary,no,low,jul,0
50+,retired,married,secondary,no,low,jul,0
40+,unemployed,married,secondary,no,low,jul,0
30+,management,married,tertiary,no,medium,jul,0
40+,management,divorced,tertiary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
50+,management,married,secondary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
30+,entrepreneur,married,primary,no,medium,jul,0
50+,blue-collar,divorced,primary,no,low,jul,0
60+,management,married,primary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
20+,blue-collar,single,primary,no,low,jul,0
60+,technician,divorced,primary,no,low,jul,0
50+,management,married,tertiary,no,low,jul,0
20+,management,single,tertiary,no,low,jul,0
30+,technician,married,tertiary,no,low,jul,0
30+,management,single,tertiary,no,low,jul,0
50+,retired,married,primary,no,low,jul,0
20+,blue-collar,single,secondary,no,low,jul,0
20+,self-employed,single,tertiary,no,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
30+,management,single,tertiary,no,low,jul,1
30+,admin.,single,secondary,no,medium,jul,0
20+,management,single,tertiary,no,low,jul,0
20+,services,married,primary,no,low,jul,0
40+,blue-collar,single,primary,no,medium,jul,0
40+,management,divorced,secondary,no,low,jul,0
30+,technician,divorced,secondary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
30+,self-employed,married,tertiary,no,low,jul,0
30+,entrepreneur,married,secondary,no,low,jul,1
50+,entrepreneur,married,tertiary,yes,low,jul,1
30+,blue-collar,divorced,secondary,no,low,jul,0
20+,management,single,tertiary,no,medium,jul,0
30+,self-employed,married,tertiary,no,low,jul,0
40+,blue-collar,married,secondary,yes,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
30+,admin.,married,secondary,no,low,jul,0
50+,admin.,married,secondary,no,low,jul,0
20+,technician,single,tertiary,no,low,jul,0
30+,management,married,tertiary,yes,low,jul,0
50+,retired,divorced,tertiary,no,low,jul,0
50+,retired,married,tertiary,no,medium,jul,0
50+,retired,married,tertiary,no,low,jul,0
50+,blue-collar,married,secondary,no,medium,jul,0
20+,blue-collar,single,secondary,yes,low,jul,0
30+,housemaid,married,secondary,no,low,jul,0
20+,technician,single,secondary,yes,low,jul,1
20+,services,single,secondary,no,medium,jul,0
30+,management,married,tertiary,no,low,jul,0
40+,management,single,tertiary,no,low,jul,0
30+,blue-collar,married,primary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
20+,unemployed,married,secondary,no,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
30+,services,single,secondary,no,low,jul,0
50+,management,married,secondary,no,low,jul,0
30+,entrepreneur,married,secondary,yes,low,jul,0
20+,housemaid,married,primary,no,low,jul,0
40+,technician,divorced,secondary,no,high,jul,0
20+,services,single,secondary,no,low,jul,0
50+,entrepreneur,married,tertiary,no,low,jul,0
30+,blue-collar,single,secondary,no,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
20+,admin.,single,secondary,no,low,jul,0
30+,blue-collar,married,primary,no,low,jul,0
20+,management,single,tertiary,no,low,jul,0
50+,blue-collar,married,primary,no,low,jul,0
20+,self-employed,single,secondary,no,low,jul,1
30+,admin.,single,tertiary,no,low,jul,0
50+,retired,married,tertiary,no,low,jul,0
20+,technician,single,secondary,no,low,jul,1
30+,admin.,married,secondary,no,low,jul,0
20+,services,single,secondary,no,low,jul,0
50+,retired,married,unknown,no,low,jul,0
20+,blue-collar,married,secondary,no,low,jul,1
40+,blue-collar,married,primary,no,medium,jul,0
40+,services,married,primary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
20+,services,single,secondary,no,low,jul,0
50+,technician,married,unknown,no,low,jul,0
50+,retired,divorced,primary,no,low,jul,0
40+,management,single,secondary,no,medium,jul,0
50+,services,divorced,secondary,no,low,jul,0
30+,admin.,single,tertiary,no,low,jul,0
50+,technician,divorced,primary,no,low,jul,0
40+,unemployed,married,secondary,no,low,jul,0
20+,technician,single,secondary,no,low,jul,0
20+,management,single,secondary,no,medium,jul,0
20+,admin.,single,unknown,no,medium,jul,1
40+,admin.,single,secondary,no,low,jul,0
40+,services,single,secondary,no,low,jul,0
20+,blue-collar,married,primary,no,low,jul,0
20+,management,single,unknown,no,low,jul,0
50+,technician,married,secondary,no,low,jul,0
20+,management,single,tertiary,no,low,jul,0
20+,entrepreneur,single,unknown,no,medium,jul,0
30+,services,married,secondary,no,low,jul,0
30+,student,single,unknown,no,low,jul,0
20+,self-employed,single,tertiary,no,low,jul,0
20+,management,married,tertiary,no,low,jul,0
30+,technician,married,secondary,no,low,jul,0
20+,management,single,tertiary,yes,low,jul,0
20+,housemaid,married,secondary,no,medium,jul,0
30+,admin.,married,secondary,no,low,jul,0
60+,retired,married,primary,no,low,jul,0
20+,services,single,secondary,yes,low,jul,0
40+,unemployed,divorced,secondary,no,medium,jul,0
50+,management,married,tertiary,no,medium,jul,0
30+,blue-collar,married,secondary,no,medium,jul,0
20+,technician,single,secondary,no,low,jul,1
40+,admin.,married,secondary,no,low,jul,0
20+,blue-collar,married,secondary,no,medium,jul,0
30+,admin.,single,secondary,no,medium,jul,0
50+,management,married,tertiary,no,low,jul,0
40+,management,married,tertiary,no,low,jul,0
40+,technician,divorced,secondary,no,low,jul,0
30+,blue-collar,married,primary,no,low,jul,0
50+,entrepreneur,married,tertiary,no,high,jul,0
20+,services,married,secondary,no,low,jul,1
30+,entrepreneur,divorced,secondary,no,low,jul,0
50+,blue-collar,married,secondary,yes,low,jul,0
30+,self-employed,married,secondary,no,low,jul,0
30+,admin.,divorced,secondary,no,low,jul,0
20+,technician,single,secondary,no,low,jul,0
40+,blue-collar,married,primary,no,low,jul,0
30+,blue-collar,married,tertiary,no,low,jul,0
